path,size,gen,kind,instr_valid,instr_total,fm,midi,syn02,syn04,syn08,track_count,max_fill,row_count,tempo,speed
../MEDIT/INFERNO/SCC1/BADNEWS.SCC,6282,8,Mixed,8,8,3,5,0,3,5,8,8,7,33,6
../MEDIT/INFERNO/SCC1/DEATH.SCC,8786,8,MIDI,9,9,0,9,0,0,9,8,8,7,50,6
../MEDIT/INFERNO/SCC1/DRAMATIC.SCC,4086,8,MIDI,6,6,0,6,0,0,6,8,8,9,50,6
../MEDIT/INFERNO/SCC1/HAPFINAL.SCC,9222,8,Mixed,8,8,3,5,0,3,5,8,8,10,33,6
../MEDIT/INFERNO/SCC1/HAPPY.SCC,12462,8,Mixed,12,12,6,6,0,6,6,8,8,16,33,6
../MEDIT/INFERNO/SCC1/HUMAN.SCC,22108,8,Mixed,13,13,4,9,4,0,9,8,8,24,33,6
../MEDIT/INFERNO/SCC1/HUMATMOS.SCC,15764,8,Mixed,14,14,9,5,2,7,5,8,8,10,50,6
../MEDIT/INFERNO/SCC1/MOON.SCC,14966,8,MIDI,12,12,0,12,0,0,12,8,8,23,50,8
../MEDIT/INFERNO/SCC1/PLANET1.SCC,37070,8,Mixed,21,21,9,12,0,9,12,16,16,40,50,6
../MEDIT/INFERNO/SCC1/PLANET2.SCC,49404,8,MIDI,12,12,0,12,0,0,12,8,8,29,50,7
../MEDIT/INFERNO/SCC1/REXATMOS.SCC,22392,8,Mixed,32,32,28,4,0,28,4,8,8,10,50,6
../MEDIT/INFERNO/SCC1/REXXON.SCC,25086,8,Mixed,32,32,20,12,0,20,12,8,8,25,50,6
../MEDIT/INFERNO/SCC1/SADFINAL.SCC,14944,8,Mixed,32,32,28,4,0,28,4,8,8,8,50,6
../MEDIT/INFERNO/SCC1/SPACE1.SCC,26118,8,MIDI,17,17,0,17,0,0,17,9,9,54,54,4
../MEDIT/INFERNO/SCC1/SPACE2.SCC,15416,8,Mixed,17,17,6,11,0,6,11,8,8,32,50,6
../MEDIT/INFERNO/SCC1/TAKEOFF.SCC,12512,8,Mixed,12,12,5,7,0,5,7,8,8,9,50,7
../MEDIT/INFERNO/SCC1/TITLE.SCC,24712,8,Mixed,16,16,1,15,0,1,15,16,16,26,50,6
../MEDIT/LAPMUSIC/JUNGLE.RLD,23366,4,Adlib,13,32,13,0,0,13,0,7,7,26,50,6
../MEDIT/LAPMUSIC/DEAN/BALLAD.RLD,8644,0,Adlib,11,11,11,0,0,11,0,16,16,10,50,7
../MEDIT/LAPMUSIC/DEAN/CAK.SNS,40298,129,Adlib,16,16,16,0,0,0,0,9,9,14,50,6
../MEDIT/LAPMUSIC/DEAN/CHEESE.SNS,60460,129,Adlib,12,12,12,0,0,0,0,8,8,20,50,6
../MEDIT/LAPMUSIC/DEAN/DENNIS.RLD,15900,0,Adlib,10,10,10,0,0,10,0,12,12,32,50,4
../MEDIT/LAPMUSIC/DEAN/DREAMY.RLD,7322,4,Adlib,12,12,12,0,0,12,0,6,6,10,33,6
../MEDIT/LAPMUSIC/DEAN/DREAMY2.RLD,6792,4,Adlib,12,12,12,0,0,12,0,7,7,4,33,6
../MEDIT/LAPMUSIC/DEAN/FLOYDISH.SC1,5884,8,MIDI,12,12,0,12,0,0,12,8,8,10,33,6
../MEDIT/LAPMUSIC/DEAN/GALLEON.RLD,12462,4,Adlib,11,11,11,0,0,11,0,10,10,17,50,7
../MEDIT/LAPMUSIC/DEAN/GALLEON.SCC,11370,8,Mixed,11,11,2,9,0,2,9,10,10,17,50,7
../MEDIT/LAPMUSIC/DEAN/GITTEST.RLD,6684,4,Adlib,12,12,12,0,0,12,0,7,7,1,50,5
../MEDIT/LAPMUSIC/DEAN/JINGLE.ADL,3948,2,Adlib,7,14,7,0,6,0,0,6,6,4,50,4
../MEDIT/LAPMUSIC/DEAN/JINGLE.RLD,7690,4,Adlib,14,14,14,0,0,14,0,14,14,4,50,4
../MEDIT/LAPMUSIC/DEAN/JUNGLE2.SC1,11684,8,MIDI,9,9,0,9,0,0,9,7,7,27,50,8
../MEDIT/LAPMUSIC/DEAN/MELLOW.RLD,5056,0,Adlib,8,8,8,0,0,8,0,7,7,6,33,4
../MEDIT/LAPMUSIC/DEAN/MENU.ADL,8468,0,Adlib,12,12,12,0,5,6,0,16,16,6,50,7
../MEDIT/LAPMUSIC/DEAN/MENU.RLD,9152,0,Adlib,12,12,12,0,0,12,0,16,16,6,50,7
../MEDIT/LAPMUSIC/DEAN/OPERA.RLD,2582,0,Adlib,3,3,3,0,0,3,0,10,10,1,50,2
../MEDIT/LAPMUSIC/DEAN/SPOOKY.RLD,3876,0,Adlib,6,6,6,0,0,6,0,6,6,4,33,6
../MEDIT/LAPMUSIC/DEAN/TEST.SNS,48796,129,Adlib,12,12,12,0,0,0,0,8,8,20,50,6
../MEDIT/LAPMUSIC/INFERNO/BALLAD.RLD,6406,0,Adlib,10,11,10,0,0,10,0,12,12,6,50,7
